cluster,token,τ,Φ,order
0,cognitive,52,0.756693542,7
0,cognitive,52,0.74439311,8
0,cognitive,52,0.812859833,9
1,cognitive,52,0.858608782,0
1,cognitive,52,0.700375676,1
1,cognitive,52,0.858608782,2
1,cognitive,52,0.863790452,3
1,cognitive,52,0.863790452,4
1,cognitive,52,0.858608782,5
1,cognitive,52,0.863790452,6
0,coherence,52,0.563395321,0
0,coherence,52,0.904166937,1
0,coherence,52,0.904166937,2
0,coherence,52,0.904166937,3
0,coherence,52,0.822149098,4
0,coherence,52,0.8604936,5
0,coherence,125,0.844525754,6
0,coherence,132,0.844525754,7
0,coherence,133,0.882734597,8
1,coherence,52,0.937476337,0
1,coherence,52,0.938133001,1
1,coherence,52,0.937476337,2
1,coherence,52,0.938133001,3
1,coherence,119,0.864535868,4
2,coherence,20,0.534370542,0
2,coherence,23,0.508488894,1
2,coherence,25,0.710507452,2
2,coherence,25,0.821416199,3
2,coherence,25,0.734732568,4
2,coherence,25,0.612000167,5
2,coherence,25,0.751526177,6
2,coherence,25,0.701573968,7
2,coherence,25,0.709733963,8
2,coherence,26,0.748938322,9
3,coherence,53,0.945857286,0
3,coherence,53,0.945857346,1
3,coherence,63,0.945857286,2
3,coherence,63,0.945857346,3
3,coherence,77,0.945857286,4
3,coherence,77,0.945857346,5
0,coherent,52,0.602598369,0
0,coherent,52,0.899684131,1
0,coherent,52,0.823169291,2
0,coherent,52,0.899684131,3
0,coherent,52,0.899684131,4
0,coherent,52,0.862119794,5
0,coherent,52,0.743987203,6
0,coherent,52,0.671482742,7
0,coherent,52,0.73989588,8
0,coherent,52,0.893366635,9
1,coherent,52,0.793766916,0
1,coherent,52,0.619292796,1
1,coherent,52,0.808214366,2
1,coherent,52,0.79450357,3
1,coherent,52,0.667469919,4
1,coherent,52,0.786708891,5
1,coherent,52,0.822154582,6
1,coherent,52,0.822154582,7
1,coherent,52,0.822154582,8
